rowid,order,family,genus,species,longitude,latitude,year,source
2809,Primates,Atelidae,Alouatta,Alouatta caraya,-54.15,-26.98,2008,atlantic_primates
2810,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.84446667,-26.42798333,NA,atlantic_primates
2811,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.93641667,-26.5569,NA,atlantic_primates
2812,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.94751667,-26.58121667,NA,atlantic_primates
2813,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.7452,-26.61183333,NA,atlantic_primates
2814,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.85011667,-26.59618333,NA,atlantic_primates
2815,Primates,Atelidae,Alouatta,Alouatta caraya,-53.85011667,-26.59618333,NA,atlantic_primates
2816,Primates,Atelidae,Alouatta,Alouatta caraya,-53.90011667,-26.82838333,NA,atlantic_primates
2817,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.90011667,-26.82838333,NA,atlantic_primates
2818,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.19675,-27.29713333,NA,atlantic_primates
2819,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.22475,-27.27475,NA,atlantic_primates
2820,Primates,Atelidae,Alouatta,Alouatta caraya,-54.49,-26.43,2008,atlantic_primates
2821,Primates,Atelidae,Alouatta,Alouatta caraya,-54.22475,-27.27475,NA,atlantic_primates
2822,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.02411667,-27.20276667,NA,atlantic_primates
2823,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.1119,-27.0322,NA,atlantic_primates
2824,Primates,Cebidae,Sapajus,Sapajus nigritus,-54.25023333,-26.92725,NA,atlantic_primates
2825,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.92715,-26.82711667,NA,atlantic_primates
2826,Primates,Atelidae,Alouatta,Alouatta guariba,-53.99003333,-26.52093333,NA,atlantic_primates
2827,Primates,Cebidae,Sapajus,Sapajus nigritus,-53.99003333,-26.52093333,NA,atlantic_primates
2828,Primates,Atelidae,Alouatta,Alouatta caraya,-54.421535,-25.912185,NA,atlantic_primates
2829,Primates,Atelidae,Alouatta,Alouatta caraya,-55.71635,-27.449232,NA,atlantic_primates
2830,Primates,Atelidae,Alouatta,Alouatta caraya,-54.07,-25.58,2008,atlantic_primates
2831,Primates,Atelidae,Alouatta,Alouatta caraya,-54.12,-25.51,2008,atlantic_primates
2832,Primates,Atelidae,Alouatta,Alouatta guariba,-54.23,-26.88,2008,atlantic_primates
2833,Primates,Atelidae,Brachyteles,Brachyteles hypoxanthus,-44.3628,-22.2558,2012,atlantic_primates
2834,Primates,Atelidae,Brachyteles,Brachyteles hypoxanthus,-41.5,-19.5,2015,atlantic_primates
2835,Primates,Atelidae,Brachyteles,Brachyteles hypoxanthus,-41.5,-19.5,2015,atlantic_primates
2836,Primates,Atelidae,Brachyteles,Brachyteles hypoxanthus,-41.5,-19.5,2015,atlantic_primates
2837,Primates,Atelidae,Brachyteles,Brachyteles hypoxanthus,-41.5,-19.5,2015,atlantic_primates
2838,Primates,Atelidae,Alouatta,Alouatta caraya,-55.2626,-28.2327,NA,atlantic_primates
2839,Primates,Callitrichidae,Callithrix,Callithrix jacchus,-35.1144,-8.3252,2010,atlantic_primates
2840,Primates,Callitrichidae,Callithrix,Callithrix jacchus,-35.1104,-8.3235,2010,atlantic_primates
2841,Primates,Callitrichidae,Callithrix,Callithrix jacchus,-35.1133,-8.3224,2010,atlantic_primates
2842,Primates,Callitrichidae,Leontopithecus,Leontopithecus caissara,-48.0921,-25.1953,NA,atlantic_primates
2843,Primates,Callitrichidae,Callithrix,Callithrix geoffroyi,-40.07,-19.48,1994,atlantic_primates
2844,Primates,Pitheciidae,Callicebus,Callicebus nigrifrons,-44.19,-21.14,2013,atlantic_primates
2845,Primates,Callitrichidae,Callithrix,Callithrix penicillata,-44.19,-21.14,2013,atlantic_primates
